Subject,Number,Description
EPOL,570,addresses history concepts theories techniques organization development applied human resource education emphasis creating managing sustaining systemwide change public private organizations organized around diagnosis implementation evaluation individual team organizationwide interventions professional
EPOL,576,analysis key elements consulting human resource development profession emphasis placed subject matter expertise consulting skills marketing organization business management communication lifework balance internal external consulting practices issues education training consultants work industry business government nonprofit sectors covered detail professional
EPOL,579,hrd hrd
EPOL,582,introduces multiliteracies theory literacy learning recognizing contemporary communications increasingly multimodal connecting written text oral visual gestural tactile spatial modes explore current trends literacy instruction language composition classes academic literacies across curriculum levels learning reflects expansive view literacy reading writing media objects video datasets infographics professional
EPOL,583,examination emerging environments elearning setting emulate heritage social relationships discourses classroom others attempting create forms learning aims push imaginative boundaries might possible elearning environments explores ways assessments constructed implemented integral learning process assistance todays media big data information technologies professional
EPOL,584,designed provide indepth look ongoing innovations webbased electronic technologies used deliver elearning content enhance learning experiences elearning environments acquire synthesize advanced content knowledge critically review research ongoing innovations integrated targeted content todays ecommunication elearning environments hrd professional
EPOL,586,guide doctoral develop broad critical understanding general field doctoral study conduct synthesized critical review general field literature become part dissertation meet doctoral requirement general field qualifying examination professional doctoral upon completion work advisor guidance
EPOL,587,guide doctoral develop broad critical understanding special field doctoral study conduct synthesized critical review special field literature become part dissertationthis meet doctoral requirement special field qualifying examination professional doctoral upon completion work advisor guidance
EPOL,588,guide edd doctoral develop broad critical understanding methodological approaches doctoral field critique methodologies used educational research develop thorough methodological proposal research become part dissertationthis meet doctoral requirement research methodology qualifying examination professional edd doctoral upon completion work advisor guidance edd
EPOL,590,seminar educational policy studies sections following fields history education b philosophy education c comparative education social foundations education e philosophy educational research f historical methods education professional
EPOL,591,designed take entire process proposal development masters doctoral ready prepare thesis dissertation proposal learn systematic comprehensive approach develop research proposal step research process related professional
EPOL,595,offers opportunity challenge selfdirective independent study develops individuals ability independent enables pursue needed study field appropriate professional
EPOL,597,direct experience study educational problems concern administrators features action component whereby provided opportunities assuming responsibility decision making live simulated setting works supervision professor possible appropriate practicing administrator professional admitted general administrative superintendent endorsement least eal
EPOL,598,supervised direct experience administration higher education aid select internship relevant career goals eol professional earned toward advanced
EPOL,599,individual direction research thesis writing professional
EPSY,201,explores fundamental issues development learning instruction assessment articulates people learn influenced cultural social contexts assess learning outcomes best teach motivate people achieve educational psychologists improve learning broad range settings homes classrooms work environments communities
EPSY,202,cultural diversity social justice issues interdisciplinary readings discussion experiential activities involves lecture labdiscussion lecture focus raising awareness key issues concerns concepts providing accurate information diverse groups relating theories models critical incidents social oppression everyday life labdiscussion sections follow group dialogue experiential activity format focus relating readings lecture material personal experiences active learning activities
EPSY,203,provides opportunities converse specific diversity social justice topic sections heading uses structured dialogue format explore intergroup intragroup differences similarities within historical contemporary contexts specific focus participants sharing experiences perspectives related specific dialogue topic dialogue format uses active learning exercises addition weekly readings journal assignments topic based dialogues
EPSY,220,various behavioral science theories covered eg personenvironment interaction decisionmaking group dynamics stereotype threat personality traits discussions research findings applied career practices also included develop workingknowledge theories interactive lectures guided discussions casebased readings group activities require think critically flexibly theory order generate solutions realworld problems additional request participate total experiments outside
EPSY,395,study problems considered designed excel selfdirection intellectual curiosity minimum gpa demonstrated writing research potential evaluated advisor advisor staff member supervises work
EPSY,401,provides overview current knowledge childrens acquisition linguistic communicative competence together consideration educational import developmental process taking requires completion substantive scholarly project work load commensurate requirements certification certification elementary ed music certification gslis
EPSY,402,provides general overview relationship language culture society teachinglearning process gives broad exposure research theory concerned effects sociocultural factors cognition perception motivation also considers effects factors classroom interaction taking requires completion substantive scholarly project elementary education music certification
EPSY,403,conducting research learning sciences theory guide conducting literature reviews formulating research questions introduces quantitative qualitative research design data collection analysis aspects research relevant learning teaching relevant education secondary goal better understand research reported primary literature well news media assignments evaluating research papers writing research proposal
EPSY,420,study counseling psychotherapeutic processes theories relation social cultural developments coverage models theories well current historical trends review counseling skills included
EPSY,460,experiences black families k schools historical social contextual factors influencing experiences considered racial identity racial socialization parent engagement schools parentchild relationships critical consciousness relate school experiences covered aim think critically education social institution relates black families experiences race plays factor
EPSY,470,conceptual constructs theories evaluation emphasis critical defining components evaluation particularly role policy development critical distinctions among evaluation theories provides grounding study evaluation theory methods
EPSY,471,introduces methodology educational social evaluation design evaluation data collection analysis reporting emphasis negotiating unique facets evaluative practice notably evaluator role working clients stakeholders political dynamics evaluation contexts utilization evaluative results collectively conduct fieldbased evaluation project
EPSY,480,designed terminal value professional training intending pursue advanced work introductory value continuing study education descriptive statistics correlation regression normal curve statistical inference presentation interpretation statistical data educational literature
EPSY,490,foundational theories practices educational psychology learning development work load commensurate requirements
EPSY,491,individual instruction designed help advanced basic principles education psychology institutional settings assigned school community agency applied settings supervised field experience aspect educational psychology masters educational psychology
EPSY,511,study vocational psychology theories assessment decisionmaking job search process historical overview development field links theory practice engage interpretation vocational assessments relevant ethical standards discuss application work either vocational theories vocational assessment parts negotiated aspects admission counseling psychology
EPSY,515,overview multicultural counseling theory empirical research practice didactic well experiential learning components goal enhance multicultural counseling competencies regard developing appropriate knowledge specific cultural groups sociopolitical issues b cultural selfawareness c multiculturally relevant intervention skills
EPSY,520,intensive supervised experiences applied educational psychology wide variety diagnostic observational techniques treatment take masters educational psychology
EPSY,530,seminar advanced doctorallevel survey social development infancy adolescence range attachment temperament genes developmental process social contexts cognitive development gender development moral reasoning prosocial behavior aggressive behavior development ethnic identity discrimination family peer community cultural ecologies children adolescents receive extensive consideration developmental theory methodology relations social policy intervention continuing concerns
EPSY,535,recommended doctoral completing degrees typically working dissertation preparing postdoctoral positions receive guidance preparing portfolios job applications anticipating understanding expectations careers professional recommended doctoral final penultimate year study prepare completing doctoral studies applying positions completion
EPSY,554,history theory practice pedagogy virtual environments read research literature participate online discussions moodle management system engage realtime activities several types virtual worlds project component requires develop educational artifacts virtual worlds perform peer review artifacts developed projects support aspect learning teaching workplace incorporate multimedia web networkbased resources expected access computers meet hardware networking requirements educational technology teaching learning leadership concentration educational psychology online cter
EPSY,581,emphasis educational research applications regression special emphasis placed application interpretation techniques covered rudimentary linear algebra general linear model different coding schemes regression diagnostics extensions binary data nested data structures
EPSY,586,provides conceptual framework item response theory irt applications learn techniques theory irt methods educational psychological assessments covered dichotomous polytomous irt modelling item structure latent traits estimation modeling detecting differential item functioning linking equating computer adaptive testing dimensionality testing cognitive diagnosis
EPSY,587,provides overview multilevel models learn techniques theory hierarchical linear models methods data studies education psychology social sciences covered multilevel analyses random intercept slope models models hypothesis testing model assessment longitudinal measures data generalized hierarchical models categorical variables
EPSY,590,seminar educational psychology relate specialization represented various divisions within professional
EPSY,591,assists doctoral candidates planning field studies thesis problems expected present studies four stages inception delimitation tentative design stage proposed design stage revised design stage final design stage expected analyze critically presentations limited admitted doctoral study
EPSY,595,offers opportunity challenge selfdirective independent study develops individuals ability independent enables pursue needed study field appropriate study outline adviser chairperson prior
EPSY,599,individual direction research thesis writing
ERAM,551,addresses historical context educational research well philosophical issues foundations research themes efforts educational research respected science rise educational psychology dominant model educational research checkered history iq testing role theory educational research choose theory debate quantitative vs qualitative research wrong debate readings assume previous background philosophy professional
ERAM,556,models methods evaluating programs processes products broadlydefined organizations situated various operational contexts eg education business government ngo particular emphasis formative summative evaluation frameworks evaluation quantitative qualitative methods data collection analysis communicating reporting evaluation findings ethics standards evaluation practice underlying philosophy evaluation catalyst organizational learning facilitate changes especially initiated training organization development positions professional
ERAM,557,addresses ways knowledge represented special reference knowledge representations teachers learners interdisciplinary bases functional linguistics semiotics philosophy history ideas mediacommunication studies ontology computer science focal point five questions meaning posed cope kalantzis transpositional grammar reference agency holds together structure fit surroundings context interest along lines inquiry transpositional grammar addresses language image embodied action object space transposition refers movement across various forms meaning intensified era pervasively multimodal digitallymediated communications applied education provide valuable heuristic reframe literacy teaching learning original impulse development grammar also offers integrated account meaningtolearn across subject pedagogical content knowledge learner knowledge representations conceived broader socialscientific research methods transpositional grammar attempt overcome narrowness logocentrism language turn dominated social sciences twentieth century practical sense semiotics kind explored also provides tools reading interpreting multimodal texts research data professional
ERAM,571,analyzes trends primary sources philosophy education drawing mainly th century movements covered pragmatism concept analysis phenomenology feminism marxismcritical theory professional appropriate coursework philosophy philosophy education
ERAM,572,focuses normative case study approaches investigating ethical issues k higher education ethical decisions faced educators administrators policymakers seek support advancement parents teachers communities democratic society large particular attention complex ethical decisions arise pursuit educational equity justice professional
ERAM,575,encourages development inquiry stance enabling design action research projects grounded authentic practicebased questions action research vehicle teacher administrator growth instructional reform practitioner inquiry characterized careful documentation systematic analysis practice time ask critical questions teaching learning curriculum school management development educational change applying various methods data collection analysis design action research projects based within practitioners school sites introduces foundations purposes practices action research practitioner inquiry professional advanced doctoral
ERAM,576,gain understanding theoretical methodological approaches discourse analysis educational research eg analysis facetoface online classroom talk interaction published policy documents assignments provide opportunities develop tools conducting research discourse analytic methods professional successful completion minimum graduatelevel introductory qualitative research methods
ESE,320,study science water planet earth developing water crisis possible solutions waters unique physical chemical properties profoundly shapes earthoceanatmosphere system dynamics oceans atmosphere lakes rivers groundwater ice masses current fresh water supplies distribution earth relative population current future water crises compounding effects droughts floods global change prospects technological economic approaches easing crisis
ESE,360,equips write environment various audiences focus specific current efforts promote sustainability urbanachampaign campus practice effective techniques stage writing processfrom defining gathering information crafting active engaging prose readings models effective environmental writing pieces experts research visits campus sites studentconducted interviews subjects completion campus composition general education requirement
ESE,389,group expedition study environment sustainability issues field site inclass meetings studentled presentation field trip expeditions run spring break winter break midmay intercession dates depend location field trip field trip fee additional
ESE,401,capstone experience earth society environment sustainability
ESE,445,introduces physical energy mineral soil resources earth environmental consequences producing resources controls resource supplies alternatives traditional supplies focuses geological origin context resources means exploration production history production sustainability issues related consumption depletion provides understanding resources scarce expensive many renewable impacts earth system field trips higher
ESE,497,advanced consisting seminar lectures subjects covered regular advanced undergraduates possible field study prominent geological locality inclass meetings studentled presentations field trip trips run spring break winter break midend dates depend location additional
ESE,498,provides experience realworld editorial process research product published essay showcases professional development wellinformed persuasive writers environmental issues
ESL,110,designed improve international ability speak understand english normal conversational speed give ability continue improving pronunciation oral fluency skills finished focus rhythm stress intonation sounds natural speech fluency building strategies toward placement based speaking score toefl placement based english second language placement test ept without toefl ielts scores
ESL,111,process writing fundamentals paragraph development analysis rhetorical patterns development oral skills first twoterm sequence fulfills campus composition general education requirement placement result english placement test
ESL,112,continued instruction fundamentals multiparagraph essay research writing instruction basics library research synthesizing sources elements style second twoterm sequence satisfies campus composition general education requirement completion
ESL,115,research paper writing process preresearch academic style organization variety writing skillbuilding tasks development peer selfediting skills fulfills campus composition requirement nonnative speakers english comp placement result english placement test
ESL,504,sounds rhythm melody spoken english current potential international teaching assistants teach english word phrase study special emphasis pronunciation english vocabulary academic disciplines placement based speak
ESL,506,focuses english discourse videotaping critique presentation development teaching strategies related university classroom laboratory contexts
ESL,508,provides knowledge resources strategies guide ongoing development international teaching assistants analyze model teaching receive feedback strengths weaknesses teaching assistant address key language pedagogical concerns focused customized project
ESL,510,designed improve international ability speak understand english normal conversational speed give ability continue improving pronunciation oral fluency skills finished focus rhythm stress intonation sounds natural speech fluency building strategies professional toward placement based english second language placement test ept speaking score toefl ielts
ESL,511,instruction foundational skills academic communication skills covered summarizing synthesizing sources reading evaluating scholarly articles delivering oral presentations academic audience first twoterm sequence professional toward placement result english placement test
ESL,512,instruction writing secondary primary research papers skills covered developing research questions design evaluating synthesizing scholarly sources producing wellreasoned substantiated arguments writing researchproject proposal second twoterm sequence professional toward
ESL,515,instruction essential skills academic writing skills writing secondary primary research papers developing research questions design evaluating synthesizing scholarly sources producing wellreasoned substantiated arguments professional toward placement result english placement test
ESL,521,instruction essential skills business communication academic professional settings skills covered writing professional correspondence summarizing analyzing sources designing attractive documents casebased writing delivering oral presentations professional toward placement result english placement test
ESL,522,continued instruction essential skills business communication academic professional settings skills covered writing professional correspondence business proposals synthesizing sources participating group discussions second twoterm sequence professional toward
ESL,525,instruction essential skills business communication academic professional settings skills covered business proposals synthesizing sources participating group discussions professional placement results english placement test
ESL,592,provides advanced international additional support conventions professional academic writing fields contract learning define pursue individualized writing goals programs support lessons genre analysis enable derive fieldspecific models research articles theses dissertations professional toward recommendation uiuc english placement test full status english proficiency admission
ESL,593,provides international opportunities improve skills effectively presenting research oral written formats preparation professional conference presentation process practice orally explaining research asking answering questions giving receiving feedback writing conference proposal aim creating delivering compelling professional presentations professional toward
ETMA,100,examples problems discussions laboratory exercises pointing present potential engineering applications agriculture emphasis power machinery soil water control electricity structures
ETMA,132,covers basic concepts project management software learn introductory features project management software utilize features complete projects
ETMA,199,open seminar experimental topic technical systems management
ETMA,234,selecting wiring materials electric motors controls lighting heating ventilation materials handling problems laboratory tsm
ETMA,262,performance costs application selection replacement agricultural machinery field implements analysis mechanized field operations laboratory
ETMA,293,supervised offcampus experience field directly pertaining technical systems management
ETMA,295,individual research special problems thesis development design work supervision appropriate member cumulative gpa time activity arranged
ETMA,311,human food web complex network technologies environments people social institutions produces processes distributes worlds food supply study food webs past present future explore various human roles global technologyenvironmentsocietyfood system domestication mechanization urbanization green revolution biotechnology food safety environment appropriate technologies developing countries additional
ETMA,339,covers foundational skills applied data analysis primary focus optimization concepts related sensors data first discussed followed data acquisition basic digital signal processing foundations optimization introduced emphasis application linear nonlinear single multiple objective spatial stochastic optimization methods assignments contain real world examples topic agriculture construction manufacturing environment
ETMA,363,emphasizes basic principles fluid power systems related offroad vehicles fundamentals fluid power systems principles key fluid power components maintenance fluid power systems tsm
ETMA,381,grain drying fundamentals airmoisture relationships grain drying systems efficient energy fans grainhandling devices systems planning grain handling systems grain standards moisture measurement grain storage fungi insect problems aeration processing milling corn soybeans laboratory
ETMA,396,individual research special problems thesis development design work direction honors advisor admission honors
ETMA,421,issues associated industrial agricultural injuries effective interventions industrial agricultural injury situations injury causation injury intervention strategies applications agricultural industrial issues specific safety issues machinery grain forage systems animals materials handling storage electricity fire safety special populations emergency preparedness
ETMA,425,primary elements effective occupational safety health management plans applicable work place farms orientation agricultural general industry safety health issues legal ethical responsibilities liability issues injuryillness incident investigation safety health resources approach organize safety health management plan safety health worker education training case study approach team work devise safety health management plans existing businesses farms tsm tsm
ETMA,439,develop solutions realworld problems demonstrating enhancing abilities problem solvers project managers team members technical writers builders multiple projects simultaneously involve project planning budgeting prototype development construction testing data collection analysis marketing navigating project challenges outside control tsm tsm etmas
ETMA,467,practices equipment used precision agriculture global positioning systems geographic information systems mapping grid sampling soil fertility physical properties yield monitoring remote sensing variablerate technologies
ETMA,496,individual research special problems thesis development design work supervision member
ETMA,499,group discussion experimental special topic technical systems management
ETMA,598,group discussion experimental special topic technical systems management professional specified topic offering information
ETMA,599,individual research various technical systems management supervision members professional
EURO,415,governments societies cultures shores mediterranean ideas associated mediterranean practices followed people governments perspectives variety disciplines paying special attention regions relationship european union minimum
EURO,500,exploration variety subjects european union euus relations comparative perspectives transatlantic relationship studied via series expert lectures university visiting scholars professional priority maeus euc flas fellowship programs welcome permission instructors
EURO,502,introduces role eu international affairs
EURO,599,carry work european union studies
FAA,110,high street tradition experimentation familiar unfamiliar international american creativity provide foundation attend performances exhibitions interact artists core issues associated creative process increasingly complex global society sciences humanities domains visual music dance theatre experiences krannert center krannert museum spark investigation dialogue
FAA,201,global theorizing black cultural expression surveys artistic cultural responses types racism racial formations modes black resistance resiliency expressions black liberation selfdetermination range spirituals gospel ringshouts western classical music ballet modern dance blues jazz hiphop africaninspired architecture blues tropes embedded urban regional segregationist planning lineage black design power place black metropolis attends geographies place ontologies time moments formed intersection black social movements white supremacy black reimagining means human series engagements facultyartists researchers fine applied black today explores practice speculative spaces imaginaries artistsinstructorsresearchers engage black transmit blackness
FAA,202,designed provide elementary education philosophical practical basis integrating visual music dance public schools lecture discussion practices activities focus ever expanding role childrens lives role teacher nurturing artistic expressions development skills processes various knowledges multimodalities additional completion applicable teacher licensure gateway requirements contact education information admission elementary teacher education
FAA,299,provides campus foreign study travel detailed proposal study abroad submitted appropriate committee studying deans office prior study abroad final determination application toward made review work abroad committee office session proposal committee office
FAA,330,techniques tools representing realizing sustainable design ideas case study method introduced digital analog means representing concepts data spatial forms handson assignments tutorials workshops learn basic skills express ideas graphically three dimensions
FAA,398,supervised field experience fulltime parttime internship position related field sustainable design designed introduce professional employment actual practice full documentation internship activities three times sustainable design permission sustaindesignillinoisedu
FAA,431,design studio format work capstone projects bachelor science sustainable design receive regular feedback critique throughout form desk critiques pinups formal reviews guests institutions limited
FAA,491,directed independent creative activity research gpa minimum enroll contract administrator sustainable design sustainable design
FAA,497,supervised experience designed creative interdisciplinary research projects led fine applied six permission
FAA,498,examination cripistemology independent study group seminars crip practicebased experimental creative research project transdisciplinary initiative critically engages notions access embodiment representation aims develop creative methodology founded application critical epistemologies advanced study supported developing indepth cripinformed research praxes inaround cripdisabled culture cripistemology crip principles
FAA,550,crip cripistemology crip practice based creative research project transdisciplinary initiative focused knowledge produced via cripdisabled experience shape change approach respective mediums explore specializations within crip discipline attending lectures screenings workshops performances outside time subjects crip temporalities cripdisabled embodiment timebased praxes deaf communication crip collaboration experiments cripdisabled cultural formations professional
FAA,556,cripping music critically creatively engages applied research strategies creative methodologies disciplinary conventions music via crip principles interdependence open access generative difference radical alterity networks support collaboration crip temporalities access ecology serve discover design cripcentric approaches strategies specific music professional
FAA,597,directed research project creative project area cripistemology professional eight good
FIN,221,introductory study corporate financial management particular financial managers choices add value shareholder wealth investment financing operating decisions completion
FIN,230,introductory role insurance society covers insurance terminology common personal insurance policies auto health life homeowners current issues
FIN,241,survey real estate finance appraisal investment brokerage management development economics special attention analysis aggregate real estate mortgage markets individual transactions within markets legal institutional factors affect markets
FIN,300,theory applications associated functioning financial markets conceptual foundations portfolio theory risk management asset valuation stock money bond mortgage futures options markets examined
FIN,321,theories firms investment financing decisions covered dividend policy capital budgeting capital structure bankruptcy long debt leasing decisions
FIN,380,focuses process involved entrepreneurship acquisition acquiring growing existing small business combination lectures presentations invited speakers research professionals bankers accountants attorneys specializing small company deals business brokers pe vc professionals entrepreneurs bought small business process buying small business toward graduation received crn eta undergrad
FIN,390,finance academy enrichment outstanding finance select focuses developing future business leaders via enhanced academic career opportunities normally invited participate year inducted participate throughout satisfy finance requirements induction finance academy
FIN,391,diversified curriculum designed prepare successful career investment banking incorporates peer mentorship guest lectures bankers accountants private equity associates hedge fund analysts case competition field trip satisfy finance requirements admission application
FIN,392,overview security analysis objective value investment proposition inclusion portfolio securities managed focus fundamental securities analysis emphasis equity valuation satisfy finance requirements admission application primarily finance show interest pursuing cfa credential
FIN,393,risk management academy enrichment outstanding undergraduates across campus nature risk management requires knowledge base number colleges departments finance actuarial science atmospheric sciences financial planning engineering statistics rma provides select focuses developing future business leaders risk management via enhanced academic career opportunities normally invited participate year basic rm inductedaccepted participate throughout acceptance risk management academy accepted risk management academy
FIN,394,unique challenges women face business world provides tools women thrive careers finance mentoring soft technical skills development panel discussions women leaders networking opportunities admission application process prior accepted academy allowed participate
FIN,411,current theories portfolio management covered considerable detail provide conceptual framework evaluation investment strategies applications implementation covered depth performance evaluation international diversification
FIN,412,options futures markets financial assets examination institutional aspects markets theories pricing discussion simple well complicated trading strategies arbitrage hedging spread applications asset risk management
FIN,415,conceptual foundations implementation strategies selection evaluation revision portfolios fixedincome financial assets bonds
FIN,418,objective learn fundamentals practice building financial models microsoft excel end able develop understanding financial relationship build financial relationship model builtin functions excel financial modeling definition requires significant work outside classroom models introduced demonstrated reviewed expected research collect date construct models prior weeks meeting
FIN,419,applies academic financial markets security analysisvaluation portfolio management handson investment management form review objectives constraints investment policy relates clients money management purchase securities monitor performance portfolio make recommendations adjustments holdings fully educated responsible fiduciary ethical standards professional money management guided cfa institute
FIN,423,study financial side entrepreneurial firms alternative methods organization sources financing financial statements management tool financial planning valuation methods exit strategies perspective owner ceo cfo
FIN,432,covers management tradable financial market risks context financial institutions incur risks operations product assets liabilities models methods practice measure manage interest rate equity market risks focus financial derivatives futures swaps options applicationsoriented heavy emphasis numerical modeling
FIN,434,studies purpose structure financial aspects employee benefit plans pensions health insurance life insurance disability plans
FIN,435,studies personal wealth management techniques emphasis life insurance products covers life insurance policies annuities trusts buysell arrangements investing stocks bonds mutual funds banking barrowing purchasing residential commercial real estate income estate taxation management personal financial portfolio
FIN,443,overview legal concepts issues principles involving real estate
FIN,445,approach evaluation real estate investment opportunities begins identification investors goals ends investment decision considers legal physical locational financial constraint aggregate real estate financial markets tax considerations investment criteria recommended
FIN,446,discusses real estate financing techniques secondary market real estate financial assets residential commercial mortgagebacked securities rmbs cmbs recommended
FIN,461,survey structure functions regulation risk management activities banks nonbank financial institutions central banking monetary policy effects financial institutions
FIN,463,mechanics financial statement analysis ratio analysis development investment bankingcorporate finance valuation models dcf leveraged buyout merger models order determine intrinsic value companies price investment banking deals waived admitted iba priority finance
FIN,464,provides key building blocks necessary many careers finance designed provide practical approach analyzing interpreting complex financial statements make decisions range user perspectives investment banks equity investors commercial banks advanced financial analysis forecasting applied assignments casework emphasis business writing skills commonly applied finance professionals crns priority finance
FIN,490,lectures discussions relating interest subsequent crns satisfy finance requirements
FIN,494,research reading concentrating finance insurance urban land economics related meet following requirements cumulative gradepoint average better attained honors day recognition year honors partial fulfillment honors requirements
FIN,495,research reading concentrating finance insurance urban land economics related honors partial fulfillment honors requirements cumulative gradepoint average better honors day recognition year
FIN,500,financial management decision making customized designed provide survey finance necessarily previous training disciplines different sections cover different sets
FIN,501,firms longrun value ultimately depends business fundamentals covers micro macroeconomic drivers fundamentals consumer demand market competitiveness government regulation interest rates business cycles monetary policy also risk intertemporal decisionmaking professional
FIN,502,quantitative methods used financial decision making elements statistics mathematics specific analytical tools used study practice finance material split two modules either across within taking half twice
FIN,503,covers time series analysis emphasis applications prepare msf advanced finance provides basic knowledge financial time series data also introduces models methods widely used academics practitioners purpose understand proper limitations econometric methods applied time series analysis professional qm covers time series analysis emphasis applications prepare msf advanced finance provides basic knowledge financial time series data also introduces models methods widely used academics practitioners purpose understand proper limitations econometric methods applied time series analysis qm
FIN,504,develop understanding fundamental accounting concepts provide key building blocks necessary intermediate advanced financial statement analysis designed provide basic practical application financial analyses commonly performed industry professionals professional fs
FIN,511,investment analysis theory implementation portfolio theory empirical evidence performance financial assets evaluation portfolio investment strategies extension diversification international markets g finance ii
FIN,512,options futures swaps derivative securities examination institutional aspects markets theories pricing discussion simple well complicated trading strategies arbitrage hedging spread applications asset risk management g finance ii
FIN,514,presents main ideas techniques modern option pricing theory blackscholesmerton analysis riskneutral probabilities probabilistic solution numerical techniques computing option prices structure modeling perhaps discretion prior
FIN,515,conceptual foundations implementation strategies selection evaluation revision portfolios fixedincome financial assets bonds examination related research g finance ii
FIN,518,objective learn fundamentals practice building financial models microsoft excel end able develop understanding financial relationship build financial relationship model builtin function excel financial modeling definition requires significant work outside classroom models introduced demonstrated reviewed expected research collect data construct models prior weeks meeting msf
FIN,521,addresses theoretical applied aspects firms financing decisions capital structure cost capital theories mergers acquisitions leveraged buyouts options warrants convertibles venture capital initial public pensions plus either either g finance ii
FIN,526,provides key building blocks necessary career investment banking valuation related fields designed provide practical application financial statement analysis modeling valuation presentation skills commonly performed industry professionals three parts first focuses mechanics financial statement analysis ratio analysis financial model building second applies financial statements forecasts within context company valuation utilizing common industry techniques third part employ valuation techniques common investmentbanking deliverables pitch books fairness opinions professional received behavioral finance previous introductory accounting finance coursework recommended
FIN,527,focuses identifying ways increase firm value mergers acquisitions corporate restructurings develop skills design evaluation transactions specific addressed valuation companies structuring transactions deal tactics strategy valuation leveraged buyouts spinoffscarveouts also delve issues accounting taxation affect structuring outcome merger transactions knowledge important component corporate finance professional foundation effective work wide range fields corporate development investment banking consulting advising management professional
FIN,529,provides key building blocks necessary many careers finance designed provide practical approach analyzing interpreting complex financial statements make decisions range user perspectives investment banks equity investors commercial banks advanced financial analysis forecasting applied assignments casework emphasis business writing skills commonly applied finance professionals professional received applied financial analysis baseline understanding financial accounting expected coming
FIN,532,covers management tradable financial market risks context financial institutions incur risks operations product assets liabilities models methods practice measure manage interest rate equity market risks focus financial derivatives futures swaps options applicationsoriented heavy emphasis numerical modeling professional received
FIN,536,survey structure functions regulation risk management activities banks nonbank financial institutions central banking monetary policy effects financial institutions professional received banking financial regulation
FIN,537,covers selected financial risk management focus statistical techniques used financial risk management rather risk management practice cases valuation issues cover valueatrisk var measure expected shortfall statistical techniques useful model financial market returns techniques used model joint distribution defaults fixed income instruments also cover additional retail risk risk budgeting economic capital modelling professional received financial risk management allowed
